Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1114352,240,Carriage return,0,B,,Cc,Punctuation,,"This character instructs a terminal to advance to the next line vertically without moving the cursor to the beginning of the line horizontally. This character is not directly equivalent to ASCII carriage return, because that is sometimes used for a combined new line and carriage return. For representing the ASCII carriage return, use Dc 121.",
1114353,241,Switch to Document mode,0,BN,,!Cx,EL Syntax,,Indicates that the following contents expect a graphical raster display output.,
1114354,242,Switch to Library mode,0,BN,,!Cx,EL Syntax,,"Indicates that the following contents provide resources (such as routine, class, or other definitions) for consumption by other documents.",
1114355,243,Switch to Structured mode,0,BN,,!Cx,EL Syntax,,Indicates that the following contents represent structured data.,
1114356,244,Switch to Terminal mode,0,BN,,!Cx,EL Syntax,,Indicates that the following contents expect a character-based terminal display output.,
1114357,245,Switch to Web mode,0,BN,,!Cx,EL Syntax,,Indicates that the following contents are designed to respond to a Web request (in a manner similar to a PHP or CGI script).,
1114358,246,Begin single-line source comment on current line,0,BN,,!Cx,EL Miscellaneous,:~ [^248 255]+ 248,"Begins a comment that, when represented in EM (Ember Language source) format, should be displayed as a “#”-style comment. All characters except 248 and 255 will be ignored. Use 255 248 to represent 248 within the comment, and 255 255 to represent 255 within the comment.",
1114359,247,Begin single-line source comment on new line,0,BN,,!Cx,EL Miscellaneous,:~ [^248 255]+ 248,"As with 247, but starting on a new line in the source form.",
1114360,248,End single-line source comment,0,BN,,!Cx,EL Miscellaneous,:[246 247] [^248 255]+ ~,Terminates a comment region begun by 246 or 247.,
1114361,249,Begin block source comment on current line,0,BN,,!Cx,EL Miscellaneous,:~ [^251 255]+ 251,"As with 248, but creating a “/*  */”-style block comment.",
1114362,250,Begin block source comment on new line,0,BN,,!Cx,EL Miscellaneous,:~ [^251 255]+ 251,"As with 250, but starting on a new line in the source form.",
1114363,251,End block source comment,0,BN,,!Cx,EL Miscellaneous,:[249 250] [^251 255]+ ~,Terminates a comment region begun by 249 or 250.,
1114364,252,Join to next source line,0,BN,,!Cx,EL Miscellaneous,,Indicates that a line break that would normally be present at this point in source form should be instead represented by a ;.,
1114365,253,Split source line here,0,BN,,!Cx,EL Miscellaneous,,"Indicates that the current logical line should be split into two physical lines in source form, joined using \.",
1114366,254,Braced block in source,0,BN,,!Cx,EL Miscellaneous,,"Indicates that the following logical block of statements should be bundled onto a single line of the source, joined using ; and bundled using { and }.",
1114367,255,Ignore following Dc,0,BN,,!Cx,Miscellaneous,,Indicates that the next character should be ignored.,
1114368,256,void lang.say(String),0,BN,,!Cx,EL Routines,,"Send the specified string to the current output context, adding a final line feed if one is not present",
1114369,257,Vertical tabulation,0,BN,,Cc,Punctuation,line tabulation,,
1114370,258,Begin parameter,0,BN,,!Cx,EL Syntax,:~ [260:] 259,,
1114371,259,End parameter,0,BN,,!Cx,EL Syntax,:258 [260:] ~,,
1114372,260,Begin literal value,0,BN,,!Cx,EL Syntax,:~ [262:] [^261 255]+ 261,,
1114373,261,End literal value,0,BN,,!Cx,EL Syntax,:260 [262:] [^261 255]+ ~,,
1114374,262,Begin type definition,0,BN,,!Cx,EL Syntax,:~ [264] 263,,
1114375,263,End type definition,0,BN,,!Cx,EL Syntax,:262 [264] ~,,
1114376,264,Built-in type identifier: String,0,BN,,!Cx,EL Types,<approx>(f80),A specific case of “String” as a format (short-style format ID 80),
1114377,265,void lang.invoke(String),0,BN,,!Cx,EL Routines,,Invoke the routine with the given name,
1114378,266,void lang.block,0,BN,,!Cx,EL Routines,,Indicates a division between blocks of statements,
1114379,267,Whitespace in source,0,BN,,!Cx,EL Miscellaneous,:([statement] ~) | (~ ~) | (~ [statement]),"Indicates that in source form, there is FIXME: following amount of whitespace.", a blank line should be present here
1114380,268,"void lang.assign(identifier, value)",0,BN,,!Cx,EL Routines,,,
1114381,269,Assignment operator,0,BN,,!Cx,EL Operators,":[identifier $ident] ~ [value $val] : lang.assign($ident, $val)",,
1114382,270,Begin identifier,0,BN,,!Cx,EL Miscellaneous,,,
1114383,271,End identifier,0,BN,,!Cx,EL Miscellaneous,,,
1114384,272,Leave block level,0,BN,,!Cx,EL Miscellaneous,,Indicates the point at which an indented block is left and execution returns to the enclosing block,
1114385,273,Parameter modifier: Parameter is optional,0,BN,,!Cx,EL Miscellaneous,,,
1114386,274,Parameter modifier: Parameter should be slurpy,0,BN,,!Cx,EL Miscellaneous,,,
1114387,275,Built-in type identifier: * (Object or any subtype),0,BN,,!Cx,EL Types,,,
1114388,276,Reference named object,0,BN,,!Cx,EL Miscellaneous,:~ [identifier] | ( [type] [identifier] ),,
1114389,277,Reference list element,0,BN,,!Cx,EL Miscellaneous,:( [list] | [string] ) ~ [identifier],,
1114390,278,Built-in type identifier: Number,0,BN,,!Cx,EL Types,,,
1114391,279,Routine invocation,0,BN,,!Cx,EL Miscellaneous,:~ [identifier],"Invoke the specified routine (unlike lang.invoke, this form of invocation is not shown in the EM source form of the document FIXME: clarify this??)",
1114392,280,Built-in type identifier: Routine,0,BN,,!Cx,EL Types,,,
1114393,281,Association football,0,ON,,So,Symbols,"soccer ball, foot ball",,
1114394,282,"Association football, text style",0,ON,,So,Symbols,<style>281,,
1114395,283,"Association football, emoji style",0,ON,,So,Emoji,<style>281,,
1114396,284,"Association football, emoji style, bouncing",0,ON,,So,Emoji,<approx>283,,
1114397,285,"Association football, emoji style, rolling",0,ON,,So,Emoji,<approx>283,,
1114398,286,Begin italicized text,0,BN,,!Cx,Styling,,,
1114399,287,End italicized text,0,BN,,!Cx,Styling,,,
1114400,288,Red,0,BN,,!Cx,Colors,,,
1114401,289,Green,0,BN,,!Cx,Colors,,,
1114402,290,Blue,0,BN,,!Cx,Colors,,,
1114403,291,Yellow,0,BN,,!Cx,Colors,,,
1114404,292,Black,0,BN,,!Cx,Colors,,,
1114405,293,White,0,BN,,!Cx,Colors,,,
1114406,294,New line within paragraph,0,WS,,Zl,Punctuation,,"This is the Unicode U+2028. It refers to a non-paragraph-separator newline, usually within a paragraph.",
1114407,295,Paragraph separator,0,B,,Zp,Punctuation,,This is the Unicode U+2029.,
1114408,296,Next number is a Dc-equivalent reference to a local node/document,0,BN,,!Cx,Miscellaneous,:~ [number],,
1114409,297,Next number is a Dc-equivalent reference to a global node to which this local node was moved.,0,BN,,!Cx,Miscellaneous,:~ [number],,
1114410,298,Begin associativity group,0,BN,,!Cx,Semantic,,Equivalent to an opening parenthesis in many languages or in arithmetic expressions.,
1114411,299,End associativity group,0,BN,,!Cx,Semantic,,Equivalent to a closing parenthesis in many languages or in arithmetic expressions.,
1114412,300,Type union,0,BN,,!Cx,Semantic,:~ [type] [type],Indicates that two types are both applicable to data.,
1114413,301,Type transformation,0,BN,,!Cx,Semantic,:~ [type] [type:transformation],Describes a transformation operation as part of a type description. Only “transformation” formats would make sense to use with this.,
1114414,302,Type conversion,0,BN,,!Cx,Semantic,:~ [type] [type],Describes a conversion operation from one type to another.,
1114415,303,Type transmutation,0,BN,,!Cx,Semantic,:~ [type] [type],Describes a transmutation operation (reinterpreting one type as another without converting).,
1114416,304,Begin set text color,0,BN,,!Cx,Styling,,,
1114417,305,End set text color,0,BN,,!Cx,Styling,,,
