Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114597,485,"Mac OS Finder label 3: (default: ""Personal"")",0,BN,,!Cx,.Semantic,<ambiguous>470 477,"Finder label index 3, Blue in Classic Mac OS and Purple in macOS."
1114598,486,"Mac OS Finder label 4: (default: ""Cool"")",0,BN,,!Cx,.Semantic,<ambiguous>471 478,"Finder label index 4, Cyan in Classic Mac OS and Blue in macOS."
1114599,487,"Mac OS Finder label 5: (default: ""In Progress"")",0,BN,,!Cx,.Semantic,<ambiguous>472 479,"Finder label index 5, Pink in Classic Mac OS and Yellow in macOS."
1114600,488,"Mac OS Finder label 6: (default: ""Hot"")",0,BN,,!Cx,.Semantic,<ambiguous>473 480,"Finder label index 6, Red."
1114601,489,"Mac OS Finder label 7: (default: ""Essential"")",0,BN,,!Cx,.Semantic,<ambiguous>474 481,"Finder label index 7, Orange."
1114602,490,Begin Mac OS extended Finder info description,0,BN,,!Cx,.Semantic,:~ [^491]+ 491,Begins an extended Mac OS Finder information record (FXInfo).
1114603,491,End Mac OS extended Finder info description,0,BN,,!Cx,.Semantic,,Terminates an extended Mac OS Finder information record (FXInfo).
1114604,492,Mac OS extended Finder icon identifier,0,BN,,!Cx,.Semantic,:~ [number:Integer],Custom icon resource ID in extended Finder info.
1114605,493,Mac OS extended Finder script code,0,BN,,!Cx,.Semantic,:~ [number:Integer],Script system text encoding code in extended Finder info.
1114606,494,Mac OS extended Finder comment identifier,0,BN,,!Cx,.Semantic,:~ [number:Integer],Comment resource ID in extended Finder info.
1114607,495,Mac OS extended Finder put away folder identifier,0,BN,,!Cx,.Semantic,:~ [number:Natural0],Directory ID for desktop put away in extended Finder info.
1114608,496,Mac OS AppleSingle real file name,0,BN,,!Cx,.Semantic,:~ [filename],Original real file name preserved in AppleSingle or AppleDouble archive.
1114609,497,File flag: custom badge,0,BN,,!Cx,.Semantic:fileflag,custombadge,Mac OS object has custom badge.
1114610,498,File flag: routing info,0,BN,,!Cx,.Semantic:fileflag,routinginfo,Mac OS object has routing info.
1114611,499,File flag: on desk,0,BN,,!Cx,.Semantic:fileflag,ondesk,Mac OS object resides on desktop.
1114612,500,File flag: shared application,0,BN,,!Cx,.Semantic:fileflag,sharedapp,Mac OS application is multi-user shared.
1114613,501,File flag: no inits,0,BN,,!Cx,.Semantic:fileflag,noinits,Mac OS file contains no INIT resource.
1114614,502,File flag: initialized,0,BN,,!Cx,.Semantic:fileflag,inited,Mac OS Finder has initialized bundle resources.
1114615,503,File flag: custom icon,0,BN,,!Cx,.Semantic:fileflag,customicon,Mac OS object has custom icon resource.
1114616,504,File flag: stationery,0,BN,,!Cx,.Semantic:fileflag,stationery,Mac OS file is stationery or template.
1114617,505,File flag: name locked,0,BN,,!Cx,.Semantic:fileflag,namelocked,Mac OS object name cannot be edited.
1114618,506,File flag: has bundle,0,BN,,!Cx,.Semantic:fileflag,hasbundle,Mac OS application has bundle resource.
1114619,507,File flag: invisible,0,BN,,!Cx,.Semantic:fileflag,invisible,Mac OS Finder invisible flag.
1114620,508,File flag: alias,0,BN,,!Cx,.Semantic:fileflag,alias,Mac OS object is an alias file.
1114621,509,File flag: extended flags invalid,0,BN,,!Cx,.Semantic:fileflag,xflaginvalid,Mac OS extended Finder flags are invalid.
1114622,510,Mac OS Finder folder window bounds,0,BN,,!Cx,.Semantic,:~ 511 [f524:],Mac OS Finder folder window bounds rectangle coordinates.
1114623,511,Begin Dc representation of format,0,BN,,!Cx,.Semantic,:~ [format] [^512]+ [512],E.g. “Here’s a Dc representation of an IPv4 address using the syntax associated with that format Dc”
1114624,512,End Dc representation of format,0,BN,,!Cx,.Semantic,,
1114625,513,File path delimiter,0,BN,,!Cx,.Semantic,,
1114628,516,Type intersection,0,BN,,!Cx,.Semantic,:~ (([type] [type]) | [list:type]),"Indicates that any of multiple types satisfy the type description. See also Dc 300 “Type union”, which indicates that all of multiple types satisfy the type description."
1114629,517,Boolean true,0,BN,,!Cx,.Semantic,"@ident(""BooleanTrue"")",
1114630,518,Boolean false,0,BN,,!Cx,.Semantic,"@ident(""BooleanFalse"")",
1114631,519,Server system clock offset nanoseconds,0,BN,,!Cx,.Semantic,:~ [number:Integer],Difference between server time and system time in nanoseconds.
1114632,520,Execution environment is an application built with release configuration,0,BN,,!Cx,.Semantic,:~ [boolean],Application binary is built in release mode with optimizations.
