"Tangut definitions for Tangut block. Data from Andrew West's https://babelstone.co.uk/Unicode/unicode.js, https://www.unicode.org/wg2/docs/n4724-FiveAdditionalTangut.pdf, https://www.unicode.org/wg2/docs/n4851-TangutAdditions.pdf, and https://www.unicode.org/L2/L2023/23246-wg2-n5217r2.pdf",definition,reading,possible variant or error,notes,source
172E6,,,,,
172E7,,,,,
172E8,to extract butter,,,,
172E9,rain,,,,
172EA,circle,,,,
172EB,to overflow,,,,
172EC,cattail,,,,
172ED,to sink,,,,
172EE,honey,,,,
172EF,moisture,,,,
172F0,poem,,,,
172F1,to wash,,,,
172F2,to wash,,,,
172F3,tube,,,,
172F4,to press,,,,
172F5,self,,,,
172F6,a transliteration,,,,
172F7,scorpion,,,,
172F8,an auxiliary word,,,,
172F9,fluid,,,,
172FA,to irrigate,,,,
172FB,bridge,,,,
172FC,foam,,,,
172FD,water,,,,
172FE,fish,,,,
172FF,to breed,,,,
17300,barnyard grass,,,,
17301,toil,,,,
17302,a transliteration,,,,
17303,winter,,,,
17304,bone,,,,
17305,a transliteration,,,,
17306,to need,,,,
17307,harmonious,,,,
17308,confusion,,,,
17309,smoothness,,,,
1730A,pus,,,,
1730B,wild goose,,,,
1730C,deep,,,,
1730D,to melt,,,,
1730E,blood stasis,,,,
1730F,servant,,,,
17310,a transliteration,,,,
17311,a transliteration,,,,
17312,to putty,,,,
17313,butter,,,,
17314,a surname,,,,
17315,net,,,,
17316,,,,,
17317,to cross,,,,
17318,butter,,,,
17319,butter,,,,
1731A,an overcast sky,,,,
1731B,to mix,,,,
1731C,water,,,,
1731D,tortoise,,,,
1731E,flood,,,,
1731F,a transliteration,,,,
17320,to smear,,,,
17321,beach,,,,
17322,,,,,
17323,bridge,,,,
17324,to cherish,,,,
17325,dregs,,,,
17326,lake,,,,
17327,upbringing,,,,
17328,,,,,
17329,to knead wheat flour,,,,
1732A,tear,,,,
1732B,a transliteration,,,,
1732C,moisture,,,,
1732D,so,,,,
1732E,true,,,,
1732F,to send,,,,
17330,old,,,,
17331,to cheat,,,,
17332,flag,,,,
17333,pretty,,,,
17334,junket,,,,
17335,a surname,,,,
17336,to give birth,,,,
17337,fort,,,,
17338,a surname,,,,
17339,wild animal,,,,
1733A,servant,,,,
1733B,to subdue,,,,
1733C,to lock up,,,,
1733D,an auxiliary word,,,,
1733E,to combine,,,,
1733F,shovel,,,,
17340,a surname,,,,
17341,wall,,,,
17342,larynx,,,,
17343,a place name,,,,
17344,wind,,,,
17345,craftsman,,,,
17346,to give up,,,,
17347,deep black,,,,
17348,eyelid,,,,
17349,"to choke, to swell",,,,
1734A,as,,,,
1734B,to gather,,,,
1734C,to swallow,,,,
1734D,hare,,,,
1734E,deep blue and green,,,,
1734F,a transliteration,,,,
17350,a transliteration,,,,
17351,shivery,,,,
17352,,,,,
17353,to repent,,,,
17354,,,,,
17355,to hasten,,,,
17356,muscle,,,,
17357,black,,,,
17358,butterfly,,,,
17359,curtain,,,,
1735A,ashamed,,,,
1735B,fast; to capture (?),,,,
1735C,broad,,,,
1735D,punishment,,,,
1735E,to be greedy (for food),,,,
1735F,to defend,,,,
17360,a transliteration,,,,
17361,brother-in-law,,,,
17362,spade,,,,
17363,to break,,,,
17364,to stand up,,,,
17365,ore,,,,
17366,swelling,,,,
17367,tub,,,,
17368,message,,,,
17369,calamity,,,,
1736A,intimate,,,,
1736B,two,,,,
1736C,a unit of weight,,,,
1736D,a transliteration,,,,
1736E,lamb,,,,
1736F,branch,,,,
17370,to ride,,,,
17371,two,,,,
17372,between,,,,
17373,you,,,,
17374,a unit of measurement,,,,
17375,a transliteration,,,,
17376,to carve,,,,
17377,to judge,,,,
17378,a kind of horse,,,,
17379,whip,,,,
1737A,ceremony,,,,
1737B,lamb,,,,
1737C,face,,,,
1737D,to salute,,,,
1737E,a surname,,,,
1737F,full,,,,
17380,a surname,,,,
17381,a surname,,,,
17382,patron of sheep,,,,
17383,to detest,,,,
17384,dew,,,,
17385,to contend,,,,
17386,snow,,,,
17387,back,,,,
17388,ice,,,,
17389,cold,,,,
1738A,the twelfth lunar month,,,,
1738B,dirty,,,,
1738C,cold,,,,
1738D,to detest,,,,
1738E,frigid,,,,
1738F,cold,,,,
17390,harm,,,,
17391,hail,,,,
17392,cold,,,,
17393,cold,,,,
17394,cold,,,,
17395,a transliteration,,,,
17396,bitter,,,,
17397,cold,,,,
17398,border,,,,
17399,border,,,,
1739A,pocket,,,,
1739B,being blind,,,,
1739C,a kind of insect,,,,
1739D,wallet,,,,
1739E,blindness,,,,
1739F,blindness,,,,
173A0,tassel,,,,
173A1,dawn,,,,
173A2,a transliteration,,,,
173A3,boundary,,,,
173A4,to observe,,,,
173A5,a surname,,,,
173A6,stutter,,,,
173A7,an insect name,,,,
173A8,intestines,,,,
173A9,family,,,,
173AA,,,,,
173AB,nature,,,,
173AC,anus,,,,
173AD,house,,,,
173AE,village,,,,
173AF,a transliteration,,,,
173B0,to move,,,,
173B1,a surname,,,,
173B2,to move,,,,
173B3,intestines,,,,
173B4,east,,,,
173B5,to combine,,,,
173B6,to collapse,,,,
173B7,to connect,,,,
173B8,sled,,,,
173B9,to contract,,,,
173BA,a figure of sitting,,,,
173BB,,,,,
173BC,,,,,
173BD,dust,,,,
173BE,a comet,,,,
173BF,piebald,,,,
173C0,dust,,,,
173C1,five,,,,
173C2,one of the eight diagrams,,,,
173C3,an ancient unit of weight (1/24 liang),,,,
173C4,urn,,,,
173C5,to obstruct,,,,
173C6,a transliteration,,,,
173C7,written characters,,,,
173C8,writing brush,,,,
173C9,to encircle,,,,
173CA,,,,,
173CB,,,,,
173CC,,,,,
173CD,,,,,
173CE,belly,,,,
173CF,to eat,,,,
173D0,,,,,
173D1,weak,,,,
173D2,intestines,,,,
173D3,to judge,,,,
173D4,,,,,
173D5,weapon,,,,
173D6,a surname,,,,
173D7,empty,,,,
173D8,chest,,,,
173D9,limit,,,,
173DA,,,,,
173DB,a surname,,,,
173DC,belly,,,,
173DD,,,,,
173DE,,,,,
173DF,nose impalement,,,,
173E0,amazement,,,,
173E1,behind,,,,
173E2,festival,,,,
173E3,direction,,,,
173E4,to force,,,,
173E5,a surname,,,,
173E6,saddle,,,,
173E7,,,,,
173E8,corpse,,,,
173E9,an old-fashioned belt,,,,
173EA,,,,,
173EB,stem,,,,
173EC,joint,,,,
173ED,land,,,,
173EE,heaven and earth,,,,
173EF,,,,,
173F0,to embrace,,,,
173F1,to combine,,,,
173F2,a surname,,,,
173F3,end,,,,
173F4,to show,,,,
173F5,end,,,,
173F6,a kind of tool for divination,,,,
173F7,coffin,,,,
173F8,doorframe,,,,
173F9,frequent,,,,
173FA,an auxiliary word,,,,
173FB,to bear lately,,,,
173FC,to send back,,,,
173FD,to mend,,,,
173FE,,,,,
173FF,auspicious,,,,
17400,pool efforts,,,,
17401,to embrace,,,,
17402,,,,,
17403,to buy or sell on credit,,,,
17404,hair,,,,
17405,to mend,,,,
17406,ugly,,,,
17407,ugly,,,,
17408,dung beetles,,,,
17409,hair,,,,
1740A,sweet words,,,,
1740B,umbrella of a carriage,,,,
1740C,a surname,,,,
1740D,cover,,,,
1740E,father,,,,
1740F,teapoy,,,,
17410,fragrant,,,,
17411,scarf,,,,
17412,fast,,,,
17413,to choke,,,,
17414,land,,,,
17415,father,,,,
17416,to arrive,,,,
17417,to capture,,,,
17418,to arrive,,,,
17419,aspiration,,,,
1741A,to ferment,,,,
1741B,numerous,,,,
1741C,cover,,,,
1741D,butter,,,,
1741E,butter,,,,
1741F,natural resources,,,,
17420,to present (a gift),,,,
17421,presently,,,,
17422,,,,,
17423,to enjoin,,,,
17424,to see someone off,,,,
17425,fortune,,,,
17426,bridal chamber,,,,
17427,to present (a gift),,,,
17428,rare,,,,
17429,a surname,,,,
1742A,respectability,,,,
1742B,to tell,,,,
1742C,to sew,,,,
1742D,to speak,,,,
1742E,ball,,,,
1742F,boundary,,,,
17430,apron,,,,
17431,an auxiliary word,,,,
17432,soft,,,,
17433,fort,,,,
17434,ear,,,,
17435,to see,,,,
17436,,,,,
17437,clean,,,,
17438,a surname,,,,
17439,a transliteration,,,,
1743A,door,,,,
1743B,clothing,,,,
1743C,to hit,,,,
1743D,singer,,,,
1743E,a surname,,,,
1743F,relatives,,,,
17440,to unfold,,,,
17441,appearance,,,,
17442,membrane,,,,
17443,a transliteration,,,,
