022FD,notnivc;
022FE,notnivb;
00023,num;
023B0,lmoust;
023B0,lmoustache;
023B1,rmoust;
023B1,rmoustache;
023B4,OverBracket;
023B4,tbrk;
023B5,bbrk;
023B5,UnderBracket;
023B6,bbrktbrk;
023DC,OverParenthesis;
023DD,UnderParenthesis;
023DE,OverBrace;
023DF,UnderBrace;
023E2,trpezium;
023E7,elinters;
00024,dollar;
024C8,circledS;
024C8,oS;
00025,percnt;
025A1,squ;
025A1,square;
025A1,Square;
025AA,blacksquare;
025AA,FilledVerySmallSquare;
025AA,squarf;
025AA,squf;
025AB,EmptyVerySmallSquare;
025AD,rect;
025AE,marker;
025B1,fltns;
025B3,bigtriangleup;
025B3,xutri;
025B4,blacktriangle;
025B4,utrif;
025B5,triangle;
025B5,utri;
025B8,blacktriangleright;
025B8,rtrif;
025B9,rtri;
025B9,triangleright;
025BD,bigtriangledown;
025BD,xdtri;
025BE,blacktriangledown;
025BE,dtrif;
025BF,dtri;
025BF,triangledown;
025C2,blacktriangleleft;
025C2,ltrif;
025C3,ltri;
025C3,triangleleft;
025CA,loz;
025CA,lozenge;
025CB,cir;
025EC,tridot;
025EF,bigcirc;
025EF,xcirc;
025F8,ultri;
025F9,urtri;
025FA,lltri;
025FB,EmptySmallSquare;
025FC,FilledSmallSquare;
00026,amp
00026,AMP
00026,amp;
00026,AMP;
00027,apos;
027C8,bsolhsub;
027C9,suphsol;
027E6,LeftDoubleBracket;
027E6,lobrk;
027E7,RightDoubleBracket;
027E7,robrk;
027E8,lang;
027E8,langle;
027E8,LeftAngleBracket;
027E9,rang;
027E9,rangle;
027E9,RightAngleBracket;
027EA,Lang;
027EB,Rang;
027EC,loang;
027ED,roang;
027F5,longleftarrow;
027F5,LongLeftArrow;
027F5,xlarr;
027F6,longrightarrow;
027F6,LongRightArrow;
027F6,xrarr;
027F7,longleftrightarrow;
027F7,LongLeftRightArrow;
027F7,xharr;
027F8,DoubleLongLeftArrow;
027F8,Longleftarrow;
027F8,xlArr;
027F9,DoubleLongRightArrow;
027F9,Longrightarrow;
027F9,xrArr;
027FA,DoubleLongLeftRightArrow;
027FA,Longleftrightarrow;
027FA,xhArr;
027FC,longmapsto;
027FC,xmap;
027FF,dzigrarr;
00028,lpar;
00029,rpar;
029A4,ange;
029A5,range;
029A6,dwangle;
029A7,uwangle;
029A8,angmsdaa;
029A9,angmsdab;
029AA,angmsdac;
029AB,angmsdad;
029AC,angmsdae;
029AD,angmsdaf;
029AE,angmsdag;
029AF,angmsdah;
029B0,bemptyv;
029B1,demptyv;
029B2,cemptyv;
029B3,raemptyv;
029B4,laemptyv;
029B5,ohbar;
029B6,omid;
029B7,opar;
029B9,operp;
029BB,olcross;
029BC,odsold;
029BE,olcir;
029BF,ofcir;
029C0,olt;
029C1,ogt;
029C2,cirscir;
029C3,cirE;
029C4,solb;
029C5,bsolb;
029C9,boxbox;
029CD,trisb;
029CE,rtriltri;
029CF 00338,NotLeftTriangleBar;
029CF,LeftTriangleBar;
029D0 00338,NotRightTriangleBar;
029D0,RightTriangleBar;
029DC,iinfin;
029DD,infintie;
029DE,nvinfin;
029E3,eparsl;
029E4,smeparsl;
029E5,eqvparsl;
029EB,blacklozenge;
029EB,lozf;
029F4,RuleDelayed;
029F6,dsol;
0039A,Kappa;
0039B,Lambda;
0039C,Mu;
0039D,Nu;
0039E,Xi;
0039F,Omicron;
00040,commat;
0040A,NJcy;
0040B,TSHcy;
